asn=0    	id=-1  	Main	copying configuration file E:\TSCH-2022\matlab-simulation\manual_schedule\config.json to output directory E:\TSCH-2022\results\2022-04-28_12-03-55\config.json[MAIN]
asn=0    	id=7   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=7   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=16 [SCHEDULER NEW]
asn=0    	id=7   	Node	Slotframe number 1 added from node: 7 [NODE]
asn=0    	id=7   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=7   	TSCH	about to add cells at channel offset=8 called by node 7 [SCHEDULER NEW]
asn=0    	id=7   	Node	Add cell in timeslot: 6 channel offset: 2 in slotframe: 1
asn=0    	id=7   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=7   	Node	update time source called [NODE]
asn=0    	id=7   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=7   	Node	scanning on channel=26...[NODE]
asn=0    	id=8   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=8   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=8   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=16 [SCHEDULER NEW]
asn=0    	id=8   	Node	Slotframe number 1 added from node: 8 [NODE]
asn=0    	id=8   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=8   	TSCH	about to add cells at channel offset=9 called by node 8 [SCHEDULER NEW]
asn=0    	id=8   	Node	Add cell in timeslot: 7 channel offset: 1 in slotframe: 1
asn=0    	id=8   	Node	Add cell in timeslot: 9 channel offset: 3 in slotframe: 1
asn=0    	id=8   	Node	Add cell in timeslot: 10 channel offset: 1 in slotframe: 1
asn=0    	id=8   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=8   	Node	update time source called [NODE]
asn=0    	id=8   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=8   	Node	scanning on channel=15...[NODE]
asn=0    	id=9   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=9   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=9   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=16 [SCHEDULER NEW]
asn=0    	id=9   	Node	Slotframe number 1 added from node: 9 [NODE]
asn=0    	id=9   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=9   	TSCH	about to add cells at channel offset=10 called by node 9 [SCHEDULER NEW]
asn=0    	id=9   	Node	Add cell in timeslot: 8 channel offset: 2 in slotframe: 1
asn=0    	id=9   	Node	Add cell in timeslot: 11 channel offset: 4 in slotframe: 1
asn=0    	id=9   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=9   	Node	update time source called [NODE]
asn=0    	id=9   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=9   	Node	scanning on channel=15...[NODE]
asn=0    	id=10  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=10  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=10  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=16 [SCHEDULER NEW]
asn=0    	id=10  	Node	Slotframe number 1 added from node: 10 [NODE]
asn=0    	id=10  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=10  	TSCH	about to add cells at channel offset=11 called by node 10 [SCHEDULER NEW]
asn=0    	id=10  	Node	Add cell in timeslot: 9 channel offset: 3 in slotframe: 1
asn=0    	id=10  	Node	Add cell in timeslot: 12 channel offset: 3 in slotframe: 1
asn=0    	id=10  	Node	Add cell in timeslot: 13 channel offset: 3 in slotframe: 1
asn=0    	id=10  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=10  	Node	update time source called [NODE]
asn=0    	id=10  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=10  	Node	scanning on channel=20...[NODE]
asn=0    	id=11  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=11  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=11  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=16 [SCHEDULER NEW]
asn=0    	id=11  	Node	Slotframe number 1 added from node: 11 [NODE]
asn=0    	id=11  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=11  	TSCH	about to add cells at channel offset=12 called by node 11 [SCHEDULER NEW]
asn=0    	id=11  	Node	Add cell in timeslot: 10 channel offset: 1 in slotframe: 1
asn=0    	id=11  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=11  	Node	update time source called [NODE]
asn=0    	id=11  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=11  	Node	scanning on channel=26...[NODE]
asn=0    	id=12  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=12  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=12  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=16 [SCHEDULER NEW]
asn=0    	id=12  	Node	Slotframe number 1 added from node: 12 [NODE]
asn=0    	id=12  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=12  	TSCH	about to add cells at channel offset=13 called by node 12 [SCHEDULER NEW]
asn=0    	id=12  	Node	Add cell in timeslot: 11 channel offset: 4 in slotframe: 1
asn=0    	id=12  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=12  	Node	update time source called [NODE]
asn=0    	id=12  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=12  	Node	scanning on channel=20...[NODE]
asn=0    	id=13  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=13  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=13  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=16 [SCHEDULER NEW]
asn=0    	id=13  	Node	Slotframe number 1 added from node: 13 [NODE]
asn=0    	id=13  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=13  	TSCH	about to add cells at channel offset=14 called by node 13 [SCHEDULER NEW]
asn=0    	id=13  	Node	Add cell in timeslot: 12 channel offset: 3 in slotframe: 1
asn=0    	id=13  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=13  	Node	update time source called [NODE]
asn=0    	id=13  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=13  	Node	scanning on channel=20...[NODE]
asn=0    	id=14  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=14  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=14  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=16 [SCHEDULER NEW]
asn=0    	id=14  	Node	Slotframe number 1 added from node: 14 [NODE]
asn=0    	id=14  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=14  	TSCH	about to add cells at channel offset=15 called by node 14 [SCHEDULER NEW]
asn=0    	id=14  	Node	Add cell in timeslot: 13 channel offset: 3 in slotframe: 1
asn=0    	id=14  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=14  	Node	update time source called [NODE]
asn=0    	id=14  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=14  	Node	scanning on channel=25...[NODE]
asn=16   	id=4   	Node	add neighbor id=1 [NODE]
asn=16   	id=4   	Node	Add_route called from ensure neighbor
asn=16   	id=4   	TSCH	joined/associated at 0.16 on receiving an EB packet from 1[NODE]
asn=16   	id=4   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=16   	id=4   	Node	update time source called [NODE]
asn=16   	id=4   	Main	On new time source method called from Manual Routing [ROUTING MANUAL]
asn=16   	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16   	id=4   	Node	Start method called from Manual Routing for 4
asn=16   	id=4   	Node	Route File Read successfully [ROUTING MANUAL]
asn=16   	id=4   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=16   	id=4   	Node	Reading routes for Node 4 [ROUTING MANUAL]
asn=16   	id=4   	Node	Destination = 1, Nexthop = 1 [ROUTING MANUAL]
asn=16   	id=4   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 4
asn=16   	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16   	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16   	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=16   	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=23   	id=12  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=26   	id=14  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=59   	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=60   	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=63   	id=9   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=75   	id=10  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=87   	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=99   	id=7   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=100  	id=2   	Node	scanning on channel=26...[NODE]
asn=100  	id=7   	Node	scanning on channel=20...[NODE]
asn=100  	id=8   	Node	scanning on channel=26...[NODE]
asn=100  	id=9   	Node	scanning on channel=26...[NODE]
asn=100  	id=10  	Node	scanning on channel=25...[NODE]
asn=100  	id=11  	Node	scanning on channel=25...[NODE]
asn=100  	id=12  	Node	scanning on channel=26...[NODE]
asn=100  	id=13  	Node	scanning on channel=25...[NODE]
asn=100  	id=14  	Node	scanning on channel=20...[NODE]
asn=110  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=117  	id=8   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=137  	id=5   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=144  	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=156  	id=6   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=159  	id=12  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=161  	id=10  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=183  	id=4   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=183  	id=4   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=183  	id=4   	App	generate a packet, seqnum=1 for=1 [PACKET_SOURCE]
asn=183  	id=4   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=183  	id=4   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=183  	id=4   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=183  	id=4   	TSCH	schedule packet [src: 4, dest: 1, seqnum: 1], channel offset=2 timeslot=3[SCHEDULER NEW]
asn=183  	id=4   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=194  	id=9   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=195  	id=1   	Node	add neighbor id=4 [NODE]
asn=195  	id=1   	Node	Add_route called from ensure neighbor
asn=195  	id=1   	App	rx app packet seqnum=1 from=4 at cell [ts: 3, co: 2][NODE]
asn=195  	id=4   	Node	tx done from=4 source=4 to=1 destination=1 numtx=1 seqnum=1 packet buffer: timeslot: 3 channel offset: 2 acked=true, remove packet[NODE]
asn=195  	id=4   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=195  	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=196  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=198  	id=14  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=200  	id=14  	Node	scanning on channel=26...[NODE]
asn=200  	id=6   	Node	scanning on channel=25...[NODE]
asn=200  	id=2   	Node	scanning on channel=20...[NODE]
asn=200  	id=7   	Node	scanning on channel=26...[NODE]
asn=200  	id=5   	Node	scanning on channel=20...[NODE]
asn=200  	id=3   	Node	scanning on channel=25...[NODE]
asn=200  	id=10  	Node	scanning on channel=20...[NODE]
asn=200  	id=11  	Node	scanning on channel=15...[NODE]
asn=202  	id=8   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=231  	id=14  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=234  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=244  	id=12  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=258  	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=279  	id=4   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=279  	id=4   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=279  	id=4   	App	generate a packet, seqnum=2 for=1 [PACKET_SOURCE]
asn=279  	id=4   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=279  	id=4   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=279  	id=4   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=279  	id=4   	TSCH	schedule packet [src: 4, dest: 1, seqnum: 2], channel offset=2 timeslot=3[SCHEDULER NEW]
asn=279  	id=4   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=282  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=291  	id=1   	App	rx app packet seqnum=2 from=4 at cell [ts: 3, co: 2][NODE]
asn=291  	id=4   	Node	tx done from=4 source=4 to=1 destination=1 numtx=1 seqnum=2 packet buffer: timeslot: 3 channel offset: 2 acked=true, remove packet[NODE]
asn=291  	id=4   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=291  	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=298  	id=10  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=301  	id=8   	Node	scanning on channel=15...[NODE]
asn=301  	id=7   	Node	scanning on channel=15...[NODE]
asn=301  	id=12  	Node	scanning on channel=20...[NODE]
asn=301  	id=11  	Node	scanning on channel=25...[NODE]
asn=301  	id=10  	Node	scanning on channel=26...[NODE]
asn=301  	id=13  	Node	scanning on channel=20...[NODE]
asn=311  	id=5   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=326  	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=333  	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=346  	id=9   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=368  	id=10  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=375  	id=14  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=376  	id=6   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=389  	id=7   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=402  	id=6   	Node	scanning on channel=20...[NODE]
asn=402  	id=13  	Node	scanning on channel=15...[NODE]
asn=402  	id=2   	Node	scanning on channel=26...[NODE]
asn=402  	id=7   	Node	scanning on channel=20...[NODE]
asn=402  	id=8   	Node	scanning on channel=26...[NODE]
asn=402  	id=12  	Node	scanning on channel=25...[NODE]
asn=402  	id=11  	Node	scanning on channel=20...[NODE]
asn=402  	id=9   	Node	scanning on channel=25...[NODE]
asn=402  	id=5   	Node	scanning on channel=15...[NODE]
asn=403  	id=12  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=415  	id=10  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=416  	id=14  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=418  	id=12  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=433  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=463  	id=5   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=464  	id=8   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=473  	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=475  	id=9   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=483  	id=7   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=495  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=503  	id=3   	Node	scanning on channel=20...[NODE]
asn=503  	id=5   	Node	scanning on channel=20...[NODE]
asn=503  	id=2   	Node	scanning on channel=25...[NODE]
asn=503  	id=6   	Node	scanning on channel=26...[NODE]
asn=503  	id=13  	Node	scanning on channel=20...[NODE]
asn=503  	id=10  	Node	scanning on channel=15...[NODE]
asn=503  	id=7   	Node	scanning on channel=26...[NODE]
asn=503  	id=8   	Node	scanning on channel=20...[NODE]
asn=503  	id=14  	Node	scanning on channel=15...[NODE]
asn=517  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=531  	id=10  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=540  	id=4   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=540  	id=4   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=540  	id=4   	App	generate a packet, seqnum=3 for=1 [PACKET_SOURCE]
asn=540  	id=4   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=540  	id=4   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=540  	id=4   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=540  	id=4   	TSCH	schedule packet [src: 4, dest: 1, seqnum: 3], channel offset=2 timeslot=3[SCHEDULER NEW]
asn=540  	id=4   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=542  	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=547  	id=1   	App	rx app packet seqnum=3 from=4 at cell [ts: 3, co: 2][NODE]
asn=547  	id=4   	Node	tx done from=4 source=4 to=1 destination=1 numtx=1 seqnum=3 packet buffer: timeslot: 3 channel offset: 2 acked=true, remove packet[NODE]
asn=547  	id=4   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=547  	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=559  	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=570  	id=14  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=576  	id=12  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=580  	id=9   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=602  	id=6   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=604  	id=7   	Node	scanning on channel=25...[NODE]
asn=604  	id=8   	Node	scanning on channel=15...[NODE]
asn=604  	id=5   	Node	scanning on channel=15...[NODE]
asn=604  	id=14  	Node	scanning on channel=20...[NODE]
asn=604  	id=3   	Node	scanning on channel=15...[NODE]
asn=604  	id=11  	Node	scanning on channel=25...[NODE]
asn=604  	id=12  	Node	scanning on channel=15...[NODE]
asn=604  	id=9   	Node	scanning on channel=20...[NODE]
asn=604  	id=13  	Node	scanning on channel=26...[NODE]
