asn=0    	id=-1  	Main	copying configuration file E:\TSCH-2022\matlab-simulation\scenario_1\config.json to output directory E:\TSCH-2022\results\2022-05-06_17-09-05\config.json[MAIN]
asn=0    	id=10  	Node	update time source called [NODE]
asn=0    	id=10  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=10  	Node	scanning on channel=20...[NODE]
asn=0    	id=11  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=11  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=11  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=8 [SCHEDULER NEW]
asn=0    	id=11  	Node	Slotframe number 1 added from node: 11 [NODE]
asn=0    	id=11  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=11  	TSCH	about to add cells at channel offset=5 called by node 11 [SCHEDULER NEW]
asn=0    	id=11  	Node	Add cell in timeslot: 3 channel offset: 1 in slotframe: 1
asn=0    	id=11  	Node	Add cell in timeslot: 5 channel offset: 3 in slotframe: 1
asn=0    	id=11  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=11  	Node	update time source called [NODE]
asn=0    	id=11  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=11  	Node	scanning on channel=19...[NODE]
asn=0    	id=12  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=12  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=12  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=8 [SCHEDULER NEW]
asn=0    	id=12  	Node	Slotframe number 1 added from node: 12 [NODE]
asn=0    	id=12  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=12  	TSCH	about to add cells at channel offset=6 called by node 12 [SCHEDULER NEW]
asn=0    	id=12  	Node	Add cell in timeslot: 3 channel offset: 3 in slotframe: 1
asn=0    	id=12  	Node	Add cell in timeslot: 4 channel offset: 4 in slotframe: 1
asn=0    	id=12  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=12  	Node	update time source called [NODE]
asn=0    	id=12  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=12  	Node	scanning on channel=24...[NODE]
asn=0    	id=13  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=13  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=13  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=8 [SCHEDULER NEW]
asn=0    	id=13  	Node	Slotframe number 1 added from node: 13 [NODE]
asn=0    	id=13  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=13  	TSCH	about to add cells at channel offset=7 called by node 13 [SCHEDULER NEW]
asn=0    	id=13  	Node	Add cell in timeslot: 1 channel offset: 3 in slotframe: 1
asn=0    	id=13  	Node	Add cell in timeslot: 2 channel offset: 5 in slotframe: 1
asn=0    	id=13  	Node	Add cell in timeslot: 3 channel offset: 5 in slotframe: 1
asn=0    	id=13  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=13  	Node	update time source called [NODE]
asn=0    	id=13  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=13  	Node	scanning on channel=14...[NODE]
asn=0    	id=14  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=14  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=14  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=8 [SCHEDULER NEW]
asn=0    	id=14  	Node	Slotframe number 1 added from node: 14 [NODE]
asn=0    	id=14  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=14  	TSCH	about to add cells at channel offset=1 called by node 14 [SCHEDULER NEW]
asn=0    	id=14  	Node	Add cell in timeslot: 5 channel offset: 2 in slotframe: 1
asn=0    	id=14  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=14  	Node	update time source called [NODE]
asn=0    	id=14  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=14  	Node	scanning on channel=15...[NODE]
asn=6    	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=6    	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=8    	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=8    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=10   	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=13   	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=21   	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=26   	id=14  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=28   	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=29   	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=33   	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=39   	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=41   	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=44   	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=46   	id=12  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=49   	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=51   	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=54   	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=59   	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=62   	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=67   	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=72   	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=76   	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=79   	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=83   	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=83   	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=93   	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=94   	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=98   	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=100  	id=2   	Node	scanning on channel=12...[NODE]
asn=100  	id=3   	Node	scanning on channel=22...[NODE]
asn=100  	id=4   	Node	scanning on channel=14...[NODE]
asn=100  	id=5   	Node	scanning on channel=13...[NODE]
asn=100  	id=6   	Node	scanning on channel=14...[NODE]
asn=100  	id=7   	Node	scanning on channel=25...[NODE]
asn=100  	id=8   	Node	scanning on channel=25...[NODE]
asn=100  	id=9   	Node	scanning on channel=14...[NODE]
asn=100  	id=11  	Node	scanning on channel=16...[NODE]
asn=100  	id=12  	Node	scanning on channel=12...[NODE]
asn=100  	id=13  	Node	scanning on channel=12...[NODE]
asn=100  	id=10  	Node	scanning on channel=14...[NODE]
asn=100  	id=14  	Node	scanning on channel=21...[NODE]
asn=102  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=105  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=109  	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=111  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=116  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=117  	id=8   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=122  	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=124  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=129  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=137  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=138  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=144  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=145  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=146  	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=152  	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=157  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=163  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=164  	id=14  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=164  	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=171  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=174  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=181  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=183  	id=4   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=183  	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=184  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=195  	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=196  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=197  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=200  	id=14  	Node	scanning on channel=12...[NODE]
asn=200  	id=7   	Node	scanning on channel=16...[NODE]
asn=200  	id=2   	Node	scanning on channel=22...[NODE]
asn=200  	id=12  	Node	scanning on channel=17...[NODE]
asn=200  	id=6   	Node	scanning on channel=21...[NODE]
asn=200  	id=3   	Node	scanning on channel=18...[NODE]
asn=200  	id=5   	Node	scanning on channel=11...[NODE]
asn=200  	id=4   	Node	scanning on channel=21...[NODE]
asn=200  	id=13  	Node	scanning on channel=11...[NODE]
asn=200  	id=8   	Node	scanning on channel=12...[NODE]
asn=200  	id=9   	Node	scanning on channel=26...[NODE]
asn=200  	id=10  	Node	scanning on channel=24...[NODE]
asn=200  	id=11  	Node	scanning on channel=11...[NODE]
asn=206  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=208  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=214  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=217  	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=217  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=221  	id=4   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=224  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=225  	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=227  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=233  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=234  	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=235  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=244  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=247  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=254  	id=8   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=261  	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=263  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=263  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=269  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=270  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=277  	id=12  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=278  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=279  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=288  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=292  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=293  	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=298  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=299  	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=300  	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=301  	id=13  	Node	scanning on channel=13...[NODE]
